Test Article: Sun Power Cryotel (MT)
Test Article Interface: Bolted to circular frame on 3- springs, laboratory bench
Accelerometer: Ch.0-2: B+K  4524 | S/N: 30731
Accel. interface:  Supplied clip/instant glue
Accel. location: Interface flange
Axis convention: X: radial | Y: theta | Z: vertical
Test location: NSI-Herzberg Electronics Laboratory
Test conditions: Not Operating- active cancellation OFF
Test Engineer: HT, THwaveform	a0	a1	a2	a3
t0	4/9/2015  13:16:25.373607	4/9/2015  13:16:25.373607	4/9/2015  13:16:25.373607	4/9/2015  13:16:25.373607
delta t	0.005000	0.005000	0.005000	0.005000

time	a0	a1	a2	a3
4/9/2015  13:16:25.373607	-1.385164E-3	-4.076254E-3	4.770756E-5	-4.638651E-6
4/9/2015  13:16:25.378607	-1.381052E-3	-4.066247E-3	5.977154E-5	7.456523E-6
4/9/2015  13:16:25.383607	-1.366109E-3	-4.058021E-3	6.552935E-5	1.547662E-5
4/9/2015  13:16:25.388607	-1.358294E-3	-4.052401E-3	1.339376E-4	8.384254E-5
4/9/2015  13:16:25.393607	-1.354456E-3	-4.046917E-3	1.963139E-4	1.471363E-4
4/9/2015  13:16:25.398607	-1.345819E-3	-4.038006E-3	9.459257E-5	4.651657E-5
4/9/2015  13:16:25.403607	-1.338142E-3	-4.030055E-3	6.347299E-5	1.512981E-5
4/9/2015  13:16:25.408607	-1.332933E-3	-4.016757E-3	5.607009E-5	7.976746E-6
4/9/2015  13:16:25.413607	-1.327312E-3	-4.003185E-3	2.344251E-5	-2.310655E-5
4/9/2015  13:16:25.418607	-1.322240E-3	-3.984129E-3	6.525517E-5	1.959505E-5
4/9/2015  13:16:25.423607	-1.317990E-3	-3.973848E-3	8.910894E-5	4.387210E-5
4/9/2015  13:16:25.428607	-1.310998E-3	-3.964525E-3	8.335114E-5	3.875658E-5
4/9/2015  13:16:25.433607	-1.318401E-3	-3.962743E-3	6.744862E-5	2.293314E-5
4/9/2015  13:16:25.438607	-1.315111E-3	-3.967679E-3	1.014471E-4	5.770135E-5
4/9/2015  13:16:25.443607	-1.312780E-3	-3.974259E-3	5.881190E-5	1.621360E-5
4/9/2015  13:16:25.448607	-1.311547E-3	-3.983718E-3	7.581115E-5	3.485491E-5
4/9/2015  13:16:25.453607	-1.307023E-3	-3.993452E-3	-4.112720E-7	-4.023055E-5
4/9/2015  13:16:25.458607	-1.305103E-3	-3.997701E-3	9.322166E-6	-3.017291E-5
4/9/2015  13:16:25.463607	-1.304692E-3	-4.008394E-3	-1.370907E-5	-5.189220E-5
4/9/2015  13:16:25.468607	-1.299894E-3	-4.015249E-3	1.549125E-5	-2.124242E-5
4/9/2015  13:16:25.473607	-1.300031E-3	-4.016483E-3	2.481341E-5	-1.278880E-5
4/9/2015  13:16:25.478607	-1.300716E-3	-4.017442E-3	9.747148E-5	5.978224E-5
4/9/2015  13:16:25.483607	-1.298523E-3	-4.025257E-3	1.439452E-4	1.069491E-4
4/9/2015  13:16:25.488607	-1.301128E-3	-4.029232E-3	1.858950E-4	1.488704E-4
4/9/2015  13:16:25.493607	-1.304144E-3	-4.025942E-3	9.815693E-5	6.186313E-5
4/9/2015  13:16:25.498607	-1.303184E-3	-4.017991E-3	1.697183E-4	1.351712E-4
4/9/2015  13:16:25.503607	-1.307708E-3	-4.002774E-3	1.318812E-4	9.745503E-5
4/9/2015  13:16:25.508607	-1.308393E-3	-3.985912E-3	1.502514E-4	1.162264E-4
4/9/2015  13:16:25.513607	-1.307160E-3	-3.975219E-3	1.302361E-4	9.758508E-5
4/9/2015  13:16:25.518607	-1.303047E-3	-3.956300E-3	9.843111E-5	6.606827E-5
4/9/2015  13:16:25.523607	-1.291120E-3	-3.942591E-3	1.061082E-4	7.408836E-5
4/9/2015  13:16:25.528607	-1.280016E-3	-3.932035E-3	1.423001E-4	1.107207E-4
4/9/2015  13:16:25.533607	-1.269871E-3	-3.929293E-3	1.723230E-4	1.426710E-4
4/9/2015  13:16:25.538607	-1.259726E-3	-3.923672E-3	8.595586E-5	5.692102E-5
4/9/2015  13:16:25.543607	-1.258355E-3	-3.927237E-3	6.785989E-5	3.966697E-5
4/9/2015  13:16:25.548607	-1.257122E-3	-3.932720E-3	1.708150E-4	1.425410E-4
4/9/2015  13:16:25.553607	-1.251227E-3	-3.939164E-3	8.897185E-5	6.034582E-5
4/9/2015  13:16:25.558607	-1.253968E-3	-3.946567E-3	2.056360E-6	-2.761515E-5
4/9/2015  13:16:25.563607	-1.262742E-3	-3.944647E-3	3.674030E-5	7.109708E-6
4/9/2015  13:16:25.568607	-1.262468E-3	-3.942591E-3	3.975630E-5	1.066456E-5
4/9/2015  13:16:25.573607	-1.274806E-3	-3.944921E-3	2.810359E-5	-3.468150E-7
4/9/2015  13:16:25.578607	-1.268774E-3	-3.950405E-3	7.951260E-5	5.067835E-5
4/9/2015  13:16:25.583607	-1.265073E-3	-3.953969E-3	1.184464E-4	9.025862E-5
4/9/2015  13:16:25.588607	-1.267815E-3	-3.955477E-3	1.277685E-4	9.845212E-5
4/9/2015  13:16:25.593607	-1.259315E-3	-3.955615E-3	1.203656E-4	9.021526E-5
4/9/2015  13:16:25.598607	-1.257259E-3	-3.954244E-3	2.728105E-5	-4.031725E-6
4/9/2015  13:16:25.603607	-1.253694E-3	-3.956437E-3	4.400611E-5	1.183506E-5
4/9/2015  13:16:25.608607	-1.248485E-3	-3.952324E-3	1.070678E-4	7.534557E-5
4/9/2015  13:16:25.613607	-1.240259E-3	-3.941357E-3	5.086064E-5	1.846790E-5
4/9/2015  13:16:25.618607	-1.232308E-3	-3.936833E-3	5.168319E-5	1.729740E-5
4/9/2015  13:16:25.623607	-1.218325E-3	-3.929430E-3	3.153086E-6	-3.038967E-5
4/9/2015  13:16:25.628607	-1.212156E-3	-3.916544E-3	1.058340E-4	7.179071E-5
4/9/2015  13:16:25.633607	-1.205027E-3	-3.909689E-3	1.211882E-4	8.705058E-5
4/9/2015  13:16:25.638607	-1.203519E-3	-3.904617E-3	9.226203E-5	5.709443E-5
4/9/2015  13:16:25.643607	-1.201737E-3	-3.898174E-3	1.597106E-4	1.232927E-4
4/9/2015  13:16:25.648607	-1.202559E-3	-3.896528E-3	2.467632E-6	-3.277402E-5
4/9/2015  13:16:25.653607	-1.210099E-3	-3.886932E-3	8.609295E-5	4.868416E-5
4/9/2015  13:16:25.658607	-1.215857E-3	-3.878433E-3	2.146840E-4	1.767023E-4
4/9/2015  13:16:25.663607	-1.212978E-3	-3.866094E-3	6.018281E-5	2.301985E-5
4/9/2015  13:16:25.668607	-1.216954E-3	-3.859788E-3	-5.387664E-5	-9.155917E-5
4/9/2015  13:16:25.673607	-1.225317E-3	-3.854305E-3	-6.799698E-5	-1.052584E-4
4/9/2015  13:16:25.678607	-1.218188E-3	-3.855264E-3	-4.688501E-5	-8.310555E-5
4/9/2015  13:16:25.683607	-1.208591E-3	-3.861570E-3	-3.536940E-5	-7.101038E-5
4/9/2015  13:16:25.688607	-1.196527E-3	-3.870618E-3	7.457733E-5	3.914675E-5
4/9/2015  13:16:25.693607	-1.192552E-3	-3.878570E-3	8.321404E-5	4.851075E-5
4/9/2015  13:16:25.698607	-1.183641E-3	-3.882819E-3	1.502514E-4	1.153594E-4
4/9/2015  13:16:25.703607	-1.171851E-3	-3.895980E-3	1.794517E-4	1.437982E-4
4/9/2015  13:16:25.708607	-1.169109E-3	-3.893512E-3	7.539988E-5	3.940686E-5
4/9/2015  13:16:25.713607	-1.157182E-3	-3.893101E-3	1.361310E-4	9.957927E-5
4/9/2015  13:16:25.718607	-1.156086E-3	-3.892279E-3	7.389188E-5	3.684910E-5
4/9/2015  13:16:25.723607	-1.156908E-3	-3.889948E-3	1.576543E-4	1.194344E-4
4/9/2015  13:16:25.728607	-1.156223E-3	-3.889948E-3	1.492918E-4	1.104172E-4
4/9/2015  13:16:25.733607	-1.159650E-3	-3.887480E-3	1.004875E-4	6.125621E-5
4/9/2015  13:16:25.738607	-1.167053E-3	-3.884327E-3	1.509368E-4	1.108074E-4
4/9/2015  13:16:25.743607	-1.174182E-3	-3.881174E-3	2.861083E-4	2.458485E-4
4/9/2015  13:16:25.748607	-1.174593E-3	-3.875417E-3	2.249658E-4	1.838120E-4
4/9/2015  13:16:25.753607	-1.181036E-3	-3.869110E-3	1.750648E-4	1.334371E-4
4/9/2015  13:16:25.758607	-1.187754E-3	-3.857458E-3	1.717746E-4	1.306192E-4
4/9/2015  13:16:25.763607	-1.187754E-3	-3.846765E-3	1.412034E-4	1.000561E-4
4/9/2015  13:16:25.768607	-1.180625E-3	-3.835660E-3	1.366794E-4	9.455045E-5
4/9/2015  13:16:25.773607	-1.169109E-3	-3.822362E-3	1.514852E-4	1.102005E-4
4/9/2015  13:16:25.778607	-1.157868E-3	-3.812355E-3	1.506627E-4	1.087699E-4
4/9/2015  13:16:25.783607	-1.156634E-3	-3.804541E-3	2.123535E-4	1.700261E-4
4/9/2015  13:16:25.788607	-1.144707E-3	-3.796041E-3	2.342880E-4	1.914853E-4
4/9/2015  13:16:25.793607	-1.135248E-3	-3.789598E-3	2.606094E-4	2.167161E-4
4/9/2015  13:16:25.798607	-1.124418E-3	-3.792477E-3	2.462149E-4	2.013695E-4
4/9/2015  13:16:25.803607	-1.118386E-3	-3.795904E-3	3.310740E-4	2.858189E-4
4/9/2015  13:16:25.808607	-1.125103E-3	-3.797549E-3	2.674639E-4	2.217449E-4
4/9/2015  13:16:25.813607	-1.128119E-3	-3.799057E-3	5.140901E-5	5.418985E-6
4/9/2015  13:16:25.818607	-1.137853E-3	-3.807145E-3	-1.357198E-5	-5.852504E-5
4/9/2015  13:16:25.823607	-1.140320E-3	-3.814548E-3	3.838539E-6	-4.157445E-5
4/9/2015  13:16:25.828607	-1.143336E-3	-3.826475E-3	7.814169E-6	-3.949356E-5
4/9/2015  13:16:25.833607	-1.152247E-3	-3.834426E-3	7.663369E-5	2.986945E-5
4/9/2015  13:16:25.838607	-1.165134E-3	-3.840458E-3	1.280427E-4	8.124142E-5
4/9/2015  13:16:25.843607	-1.165545E-3	-3.837991E-3	7.073879E-5	2.462387E-5
4/9/2015  13:16:25.848607	-1.169932E-3	-3.834838E-3	-7.814169E-6	-5.440661E-5
4/9/2015  13:16:25.853607	-1.167601E-3	-3.828532E-3	-5.552173E-5	-1.010966E-4
4/9/2015  13:16:25.858607	-1.157594E-3	-3.817564E-3	-1.507998E-5	-6.064928E-5
4/9/2015  13:16:25.863607	-1.146901E-3	-3.805089E-3	4.606247E-5	4.335188E-8
4/9/2015  13:16:25.868607	-1.136893E-3	-3.786582E-3	7.498860E-5	2.934922E-5
4/9/2015  13:16:25.873607	-1.117563E-3	-3.772736E-3	7.485151E-5	2.900241E-5
4/9/2015  13:16:25.878607	-1.108927E-3	-3.766978E-3	-2.728105E-5	-7.213753E-5
4/9/2015  13:16:25.883607	-1.099741E-3	-3.751212E-3	7.183552E-5	2.713828E-5
4/9/2015  13:16:25.888607	-1.097137E-3	-3.739971E-3	7.101297E-5	2.536085E-5
4/9/2015  13:16:25.893607	-1.100153E-3	-3.731334E-3	1.412034E-5	-3.221045E-5
4/9/2015  13:16:25.898607	-1.099330E-3	-3.725988E-3	1.250267E-4	7.851026E-5
4/9/2015  13:16:25.903607	-1.097822E-3	-3.718448E-3	1.300991E-4	8.319226E-5
4/9/2015  13:16:25.908607	-1.108927E-3	-3.713650E-3	9.870529E-5	5.098181E-5
4/9/2015  13:16:25.913607	-1.124829E-3	-3.718859E-3	1.385987E-4	8.956498E-5
4/9/2015  13:16:25.918607	-1.138401E-3	-3.730375E-3	1.364052E-4	8.627024E-5
4/9/2015  13:16:25.923607	-1.137716E-3	-3.740793E-3	1.861691E-4	1.353879E-4
4/9/2015  13:16:25.928607	-1.144296E-3	-3.759438E-3	2.041280E-4	1.528154E-4
4/9/2015  13:16:25.933607	-1.148820E-3	-3.775477E-3	1.159787E-4	6.424749E-5
4/9/2015  13:16:25.938607	-1.154989E-3	-3.787541E-3	7.265806E-5	2.085225E-5
4/9/2015  13:16:25.943607	-1.163214E-3	-3.793299E-3	1.263976E-4	7.491205E-5
4/9/2015  13:16:25.948607	-1.157182E-3	-3.789735E-3	1.927495E-4	1.404601E-4
4/9/2015  13:16:25.953607	-1.150739E-3	-3.776985E-3	1.258492E-4	7.395831E-5
4/9/2015  13:16:25.958607	-1.142788E-3	-3.763276E-3	4.482865E-5	-6.459430E-6
4/9/2015  13:16:25.963607	-1.135796E-3	-3.752172E-3	5.209446E-5	-4.335188E-8
4/9/2015  13:16:25.968607	-1.123595E-3	-3.738737E-3	1.096725E-4	5.796146E-5
4/9/2015  13:16:25.973607	-1.112354E-3	-3.727907E-3	1.721859E-4	1.221222E-4
4/9/2015  13:16:25.978607	-1.100016E-3	-3.722835E-3	9.623766E-5	4.400216E-5
4/9/2015  13:16:25.983607	-1.093024E-3	-3.722286E-3	1.587510E-4	1.071225E-4
4/9/2015  13:16:25.988607	-1.097959E-3	-3.717762E-3	2.079666E-4	1.581477E-4
4/9/2015  13:16:25.993607	-1.098233E-3	-3.715158E-3	2.414167E-4	1.907916E-4
4/9/2015  13:16:25.998607	-1.102895E-3	-3.705287E-3	9.404421E-5	4.387210E-5
4/9/2015  13:16:26.003607	-1.113862E-3	-3.704739E-3	3.454685E-5	-1.573673E-5
4/9/2015  13:16:26.008607	-1.124966E-3	-3.699118E-3	1.228333E-4	7.352479E-5
4/9/2015  13:16:26.013607	-1.130450E-3	-3.692263E-3	1.317441E-4	8.327896E-5
4/9/2015  13:16:26.018607	-1.126885E-3	-3.693771E-3	5.771518E-5	9.754173E-6
4/9/2015  13:16:26.023607	-1.130450E-3	-3.693908E-3	1.100838E-4	6.299028E-5
4/9/2015  13:16:26.028607	-1.134837E-3	-3.705424E-3	1.380503E-4	9.311984E-5
4/9/2015  13:16:26.033607	-1.135111E-3	-3.716528E-3	1.823306E-4	1.384659E-4
4/9/2015  13:16:26.038607	-1.123321E-3	-3.724891E-3	1.028180E-4	5.952213E-5
4/9/2015  13:16:26.043607	-1.113862E-3	-3.728592E-3	1.055598E-4	6.043252E-5
4/9/2015  13:16:26.048607	-1.109064E-3	-3.727221E-3	1.129627E-4	6.897284E-5
4/9/2015  13:16:26.053607	-1.105773E-3	-3.723931E-3	1.044631E-4	6.090939E-5
4/9/2015  13:16:26.058607	-1.100290E-3	-3.719407E-3	1.472354E-4	1.054318E-4
4/9/2015  13:16:26.063607	-1.091379E-3	-3.711593E-3	7.704496E-5	3.628552E-5
4/9/2015  13:16:26.068607	-1.088089E-3	-3.702545E-3	5.744100E-5	1.634366E-5
4/9/2015  13:16:26.073607	-1.084524E-3	-3.690207E-3	9.089112E-5	5.020148E-5
4/9/2015  13:16:26.078607	-1.081783E-3	-3.686917E-3	9.061694E-5	4.946450E-5
4/9/2015  13:16:26.083607	-1.089871E-3	-3.687054E-3	-6.196499E-5	-1.027006E-4
4/9/2015  13:16:26.088607	-1.098919E-3	-3.687876E-3	9.706020E-5	5.670426E-5
4/9/2015  13:16:26.093607	-1.104403E-3	-3.695965E-3	8.636713E-5	4.699344E-5
4/9/2015  13:16:26.098607	-1.114959E-3	-3.708166E-3	4.373193E-5	4.812059E-6
4/9/2015  13:16:26.103607	-1.125515E-3	-3.712416E-3	1.017213E-4	6.294693E-5
4/9/2015  13:16:26.108607	-1.134014E-3	-3.707480E-3	5.469918E-5	1.599684E-5
4/9/2015  13:16:26.113607	-1.142377E-3	-3.706247E-3	1.549125E-4	1.165299E-4
4/9/2015  13:16:26.118607	-1.141143E-3	-3.700078E-3	1.872659E-4	1.488704E-4
4/9/2015  13:16:26.123607	-1.133054E-3	-3.689796E-3	1.890481E-4	1.503443E-4
4/9/2015  13:16:26.128607	-1.129627E-3	-3.669918E-3	1.277685E-4	8.826443E-5
4/9/2015  13:16:26.133607	-1.118660E-3	-3.653467E-3	1.949430E-4	1.555899E-4
4/9/2015  13:16:26.138607	-1.107144E-3	-3.641540E-3	1.893222E-4	1.501276E-4
4/9/2015  13:16:26.143607	-1.092339E-3	-3.632492E-3	1.808226E-4	1.413271E-4
4/9/2015  13:16:26.148607	-1.072735E-3	-3.627419E-3	2.612948E-4	2.221784E-4
4/9/2015  13:16:26.153607	-1.068759E-3	-3.626597E-3	2.367556E-4	1.995487E-4
4/9/2015  13:16:26.158607	-1.067799E-3	-3.628516E-3	1.543641E-4	1.195645E-4
4/9/2015  13:16:26.163607	-1.058751E-3	-3.639483E-3	1.497030E-4	1.147091E-4
4/9/2015  13:16:26.168607	-1.057518E-3	-3.649902E-3	1.083016E-4	7.439183E-5
4/9/2015  13:16:26.173607	-1.061082E-3	-3.660870E-3	1.137853E-4	8.059115E-5
4/9/2015  13:16:26.178607	-1.069582E-3	-3.668272E-3	1.104951E-4	7.942064E-5
4/9/2015  13:16:26.183607	-1.078629E-3	-3.677595E-3	1.656055E-4	1.365584E-4
4/9/2015  13:16:26.188607	-1.086307E-3	-3.687602E-3	1.688957E-4	1.402000E-4
4/9/2015  13:16:26.193607	-1.095080E-3	-3.682804E-3	1.379132E-4	1.092901E-4
4/9/2015  13:16:26.198607	-1.099879E-3	-3.681022E-3	1.188576E-4	8.991180E-5
4/9/2015  13:16:26.203607	-1.103443E-3	-3.672111E-3	1.239300E-4	9.580766E-5
4/9/2015  13:16:26.208607	-1.106048E-3	-3.659087E-3	1.720488E-4	1.441450E-4
4/9/2015  13:16:26.213607	-1.097685E-3	-3.650725E-3	1.299620E-4	1.018336E-4
4/9/2015  13:16:26.218607	-1.085758E-3	-3.641403E-3	2.111197E-4	1.819478E-4
4/9/2015  13:16:26.223607	-1.075476E-3	-3.632355E-3	1.939833E-4	1.654308E-4
4/9/2015  13:16:26.228607	-1.065606E-3	-3.621387E-3	1.453161E-4	1.157929E-4
4/9/2015  13:16:26.233607	-1.049429E-3	-3.611791E-3	8.060932E-5	4.955120E-5
4/9/2015  13:16:26.238607	-1.044494E-3	-3.601372E-3	1.196802E-4	8.891471E-5
4/9/2015  13:16:26.243607	-1.033664E-3	-3.594381E-3	1.113176E-4	8.093796E-5
4/9/2015  13:16:26.248607	-1.028043E-3	-3.590268E-3	1.239300E-4	9.186263E-5
4/9/2015  13:16:26.253607	-1.022696E-3	-3.584373E-3	1.883626E-4	1.553298E-4
4/9/2015  13:16:26.258607	-1.025164E-3	-3.577930E-3	1.797259E-4	1.464427E-4
4/9/2015  13:16:26.263607	-1.027358E-3	-3.582317E-3	1.436710E-4	1.105039E-4
4/9/2015  13:16:26.268607	-1.029414E-3	-3.593969E-3	1.019955E-4	6.823586E-5
4/9/2015  13:16:26.273607	-1.040107E-3	-3.603566E-3	1.705408E-4	1.356480E-4
4/9/2015  13:16:26.278607	-1.043397E-3	-3.608638E-3	1.749277E-4	1.396798E-4
4/9/2015  13:16:26.283607	-1.051760E-3	-3.616589E-3	2.008379E-4	1.655175E-4
4/9/2015  13:16:26.288607	-1.059985E-3	-3.619194E-3	1.279056E-4	9.242621E-5
4/9/2015  13:16:26.293607	-1.059437E-3	-3.617549E-3	1.928866E-4	1.557633E-4
4/9/2015  13:16:26.298607	-1.056421E-3	-3.615630E-3	1.948059E-4	1.565436E-4
4/9/2015  13:16:26.303607	-1.045454E-3	-3.612065E-3	1.528561E-4	1.146224E-4
4/9/2015  13:16:26.308607	-1.037639E-3	-3.611928E-3	1.560092E-4	1.183940E-4
4/9/2015  13:16:26.313607	-1.030236E-3	-3.608912E-3	1.133740E-4	7.538892E-5
4/9/2015  13:16:26.318607	-1.017213E-3	-3.608638E-3	9.294748E-5	5.562046E-5
4/9/2015  13:16:26.323607	-1.004052E-3	-3.606856E-3	1.409292E-4	1.047381E-4
4/9/2015  13:16:26.328607	-9.961009E-4	-3.600961E-3	1.240671E-4	8.748409E-5
4/9/2015  13:16:26.333607	-9.881496E-4	-3.593832E-3	3.372431E-5	-3.208039E-6
4/9/2015  13:16:26.338607	-9.865046E-4	-3.580672E-3	2.275705E-5	-1.703729E-5
4/9/2015  13:16:26.343607	-9.806097E-4	-3.562027E-3	1.288652E-5	-2.700822E-5
4/9/2015  13:16:26.348607	-9.852707E-4	-3.549278E-3	7.402897E-6	-3.234050E-5
4/9/2015  13:16:26.353607	-9.867787E-4	-3.533649E-3	8.074641E-5	4.174786E-5
4/9/2015  13:16:26.358607	-9.903431E-4	-3.522545E-3	1.357198E-4	9.658799E-5
4/9/2015  13:16:26.363607	-1.005697E-3	-3.512949E-3	4.715919E-5	7.153060E-6
4/9/2015  13:16:26.368607	-1.009810E-3	-3.506643E-3	5.497336E-5	1.460958E-5
4/9/2015  13:16:26.373607	-1.014060E-3	-3.505957E-3	8.869767E-5	4.898762E-5
4/9/2015  13:16:26.378607	-1.021188E-3	-3.507465E-3	1.480579E-4	1.069924E-4
4/9/2015  13:16:26.383607	-1.019818E-3	-3.511852E-3	2.001524E-4	1.587546E-4
4/9/2015  13:16:26.388607	-1.021463E-3	-3.514045E-3	9.130239E-5	4.933444E-5
4/9/2015  13:16:26.393607	-1.019132E-3	-3.518295E-3	7.457733E-5	3.117000E-5
4/9/2015  13:16:26.398607	-1.005834E-3	-3.522408E-3	1.070678E-4	6.312034E-5
4/9/2015  13:16:26.403607	-9.971976E-4	-3.523916E-3	1.514852E-4	1.063855E-4
4/9/2015  13:16:26.408607	-9.860933E-4	-3.525561E-3	8.321404E-5	3.814965E-5
4/9/2015  13:16:26.413607	-9.771824E-4	-3.527617E-3	1.507998E-4	1.054318E-4
4/9/2015  13:16:26.418607	-9.706020E-4	-3.535020E-3	1.630008E-4	1.170067E-4
4/9/2015  13:16:26.423607	-9.612799E-4	-3.540915E-3	1.772583E-4	1.297522E-4
4/9/2015  13:16:26.428607	-9.553850E-4	-3.535706E-3	2.311349E-4	1.822947E-4
4/9/2015  13:16:26.433607	-9.622395E-4	-3.531319E-3	2.002895E-4	1.510813E-4
4/9/2015  13:16:26.438607	-9.740293E-4	-3.528988E-3	2.702057E-4	2.219183E-4
4/9/2015  13:16:26.443607	-9.803355E-4	-3.521174E-3	3.179133E-4	2.685649E-4
4/9/2015  13:16:26.448607	-9.886980E-4	-3.505820E-3	2.769232E-4	2.258633E-4
4/9/2015  13:16:26.453607	-9.969234E-4	-3.487039E-3	2.623916E-4	2.123375E-4
4/9/2015  13:16:26.458607	-1.005149E-3	-3.473467E-3	1.432598E-4	9.355336E-5
4/9/2015  13:16:26.463607	-9.995282E-4	-3.459895E-3	2.289414E-4	1.803872E-4
4/9/2015  13:16:26.468607	-1.001585E-3	-3.452629E-3	2.027571E-4	1.533790E-4
4/9/2015  13:16:26.473607	-9.993911E-4	-3.446048E-3	7.539988E-5	2.588107E-5
4/9/2015  13:16:26.478607	-9.878755E-4	-3.442073E-3	1.184464E-4	6.970982E-5
4/9/2015  13:16:26.483607	-9.815693E-4	-3.442073E-3	1.283169E-4	8.041774E-5
4/9/2015  13:16:26.488607	-9.749889E-4	-3.449064E-3	1.893222E-4	1.408936E-4
4/9/2015  13:16:26.493607	-9.729326E-4	-3.454685E-3	1.938462E-4	1.453589E-4
4/9/2015  13:16:26.498607	-9.649813E-4	-3.459209E-3	2.011120E-4	1.520784E-4
4/9/2015  13:16:26.503607	-9.549737E-4	-3.464967E-3	2.156436E-4	1.670348E-4
4/9/2015  13:16:26.508607	-9.497643E-4	-3.473330E-3	2.998173E-4	2.516143E-4
4/9/2015  13:16:26.513607	-9.488046E-4	-3.478676E-3	2.111197E-4	1.629597E-4
4/9/2015  13:16:26.518607	-9.412646E-4	-3.487176E-3	2.224982E-4	1.741879E-4
4/9/2015  13:16:26.523607	-9.501755E-4	-3.488958E-3	2.079666E-4	1.583211E-4
4/9/2015  13:16:26.528607	-9.631991E-4	-3.484023E-3	2.356589E-4	1.862830E-4
4/9/2015  13:16:26.533607	-9.653926E-4	-3.483063E-3	3.358722E-4	2.855155E-4
4/9/2015  13:16:26.538607	-9.726584E-4	-3.476208E-3	3.632903E-4	3.121769E-4
4/9/2015  13:16:26.543607	-9.823918E-4	-3.465515E-3	2.728105E-4	2.213547E-4
4/9/2015  13:16:26.548607	-9.785533E-4	-3.462911E-3	2.741814E-4	2.210512E-4
4/9/2015  13:16:26.553607	-9.782791E-4	-3.457701E-3	3.022850E-4	2.494467E-4
4/9/2015  13:16:26.558607	-9.749889E-4	-3.450710E-3	2.789795E-4	2.261234E-4
4/9/2015  13:16:26.563607	-9.747148E-4	-3.444952E-3	3.037930E-4	2.506606E-4
4/9/2015  13:16:26.568607	-9.664893E-4	-3.442347E-3	2.436101E-4	1.899246E-4
4/9/2015  13:16:26.573607	-9.544253E-4	-3.432477E-3	2.880275E-4	2.322360E-4
4/9/2015  13:16:26.578607	-9.467483E-4	-3.425211E-3	2.632141E-4	2.072220E-4
4/9/2015  13:16:26.583607	-9.309828E-4	-3.420961E-3	2.988577E-4	2.431607E-4
4/9/2015  13:16:26.588607	-9.322166E-4	-3.413969E-3	2.299011E-4	1.734075E-4
4/9/2015  13:16:26.593607	-9.272814E-4	-3.400946E-3	2.234578E-4	1.665146E-4
4/9/2015  13:16:26.598607	-9.289265E-4	-3.398889E-3	2.405941E-4	1.844189E-4
4/9/2015  13:16:26.603607	-9.259105E-4	-3.392583E-3	1.786292E-4	1.221222E-4
4/9/2015  13:16:26.608607	-9.261847E-4	-3.388470E-3	1.772583E-4	1.208650E-4
4/9/2015  13:16:26.613607	-9.323537E-4	-3.388333E-3	1.985073E-4	1.411537E-4
4/9/2015  13:16:26.618607	-9.386599E-4	-3.392857E-3	8.115768E-5	2.327996E-5
4/9/2015  13:16:26.623607	-9.485304E-4	-3.398615E-3	1.087129E-4	5.180550E-5
4/9/2015  13:16:26.628607	-9.577155E-4	-3.402454E-3	1.560092E-4	9.940586E-5
4/9/2015  13:16:26.633607	-9.555221E-4	-3.407389E-3	7.128716E-5	1.530321E-5
4/9/2015  13:16:26.638607	-9.642959E-4	-3.408349E-3	4.249811E-5	-1.434947E-5
4/9/2015  13:16:26.643607	-9.701908E-4	-3.406566E-3	6.566644E-5	9.450710E-6
4/9/2015  13:16:26.648607	-9.641588E-4	-3.403139E-3	1.964509E-4	1.414572E-4
4/9/2015  13:16:26.653607	-9.711504E-4	-3.400946E-3	1.461387E-4	9.103895E-5
4/9/2015  13:16:26.658607	-9.600461E-4	-3.397518E-3	8.718967E-5	3.216710E-5
4/9/2015  13:16:26.663607	-9.520948E-4	-3.388196E-3	1.091242E-4	5.505689E-5
4/9/2015  13:16:26.668607	-9.500384E-4	-3.382850E-3	2.001524E-5	-3.429134E-5
4/9/2015  13:16:26.673607	-9.377003E-4	-3.375447E-3	8.225441E-5	2.830878E-5
4/9/2015  13:16:26.678607	-9.390712E-4	-3.360915E-3	1.144707E-4	6.034582E-5
4/9/2015  13:16:26.683607	-9.360552E-4	-3.351730E-3	1.295507E-4	7.512881E-5
4/9/2015  13:16:26.688607	-9.401679E-4	-3.344190E-3	1.930237E-4	1.386827E-4
4/9/2015  13:16:26.693607	-9.400308E-4	-3.334045E-3	1.728714E-4	1.199113E-4
4/9/2015  13:16:26.698607	-9.419501E-4	-3.329384E-3	1.560092E-4	1.035243E-4
4/9/2015  13:16:26.703607	-9.493530E-4	-3.331167E-3	1.043260E-4	5.384304E-5
4/9/2015  13:16:26.708607	-9.504497E-4	-3.331852E-3	1.686215E-4	1.180038E-4
4/9/2015  13:16:26.713607	-9.519577E-4	-3.339118E-3	1.864433E-4	1.342174E-4
4/9/2015  13:16:26.718607	-9.485304E-4	-3.340352E-3	2.022088E-4	1.499542E-4
4/9/2015  13:16:26.723607	-9.527802E-4	-3.343916E-3	1.993299E-4	1.471363E-4
4/9/2015  13:16:26.728607	-9.553850E-4	-3.344190E-3	8.787513E-5	3.706586E-5
